Title,Link,PublishedDate
Your ultimate guide to Azure app innovation at Microsoft Build 2023,https://techcommunity.microsoft.com/t5/apps-on-azure-blog/your-ultimate-guide-to-azure-app-innovation-at-microsoft-build/ba-p/3824723,"Thu, 18 May 2023 15:32:08 PDT"
Azure Spring Apps feature updates in FY23 Q3,https://techcommunity.microsoft.com/t5/apps-on-azure-blog/azure-spring-apps-feature-updates-in-fy23-q3/ba-p/3827257,"Mon, 22 May 2023 08:29:40 PDT"
Announcing: Contoso Real Estate JavaScript Composable Application Reference Sample,https://techcommunity.microsoft.com/t5/apps-on-azure-blog/announcing-contoso-real-estate-javascript-composable-application/ba-p/3827097,"Mon, 22 May 2023 08:05:20 PDT"
Run JBoss EAP on Azure Red Hat OpenShift,https://techcommunity.microsoft.com/t5/apps-on-azure-blog/run-jboss-eap-on-azure-red-hat-openshift/ba-p/3812097,"Mon, 22 May 2023 08:00:00 PDT"
Automatically run and monitor performance tests in Azure Load Testing,https://techcommunity.microsoft.com/t5/apps-on-azure-blog/automatically-run-and-monitor-performance-tests-in-azure-load/ba-p/3827088,"Mon, 22 May 2023 06:23:59 PDT"
Extend the capabilities of your AKS deployments with Kubernetes Apps on Azure Marketplace,https://techcommunity.microsoft.com/t5/apps-on-azure-blog/extend-the-capabilities-of-your-aks-deployments-with-kubernetes/ba-p/3827989,"Tue, 23 May 2023 12:09:17 PDT"
What's New for Azure App Service at Build 2023,https://techcommunity.microsoft.com/t5/apps-on-azure-blog/what-s-new-for-azure-app-service-at-build-2023/ba-p/3822925,"Tue, 23 May 2023 10:40:00 PDT"
Introducing Azure App Spaces: Getting your code into the cloud as fast as possible,https://techcommunity.microsoft.com/t5/apps-on-azure-blog/introducing-azure-app-spaces-getting-your-code-into-the-cloud-as/ba-p/3827951,"Tue, 23 May 2023 10:30:00 PDT"
Azure Kubernetes Service Build 2023 announcements,https://techcommunity.microsoft.com/t5/apps-on-azure-blog/azure-kubernetes-service-build-2023-announcements/ba-p/3828634,"Tue, 23 May 2023 10:00:00 PDT"
Unleash Spring apps in a flex environment with Azure Spring Apps Consumption and Dedicated plans,https://techcommunity.microsoft.com/t5/apps-on-azure-blog/unleash-spring-apps-in-a-flex-environment-with-azure-spring-apps/ba-p/3828232,"Tue, 23 May 2023 08:00:00 PDT"
Cloud-native at Build 2023,https://techcommunity.microsoft.com/t5/apps-on-azure-blog/cloud-native-at-build-2023/ba-p/3827929,"Tue, 23 May 2023 08:00:00 PDT"
Confidential containers on Azure Container Instances General Availability,https://techcommunity.microsoft.com/t5/apps-on-azure-blog/confidential-containers-on-azure-container-instances-general/ba-p/3827460,"Tue, 23 May 2023 08:00:00 PDT"
Azure Container Apps service management just got easier! (preview),https://techcommunity.microsoft.com/t5/apps-on-azure-blog/azure-container-apps-service-management-just-got-easier-preview/ba-p/3827305,"Tue, 23 May 2023 08:00:00 PDT"
Azure Container Apps now supports Buildpacks and Patching for .NET 7 (preview),https://techcommunity.microsoft.com/t5/apps-on-azure-blog/azure-container-apps-now-supports-buildpacks-and-patching-for/ba-p/3826689,"Tue, 23 May 2023 08:00:00 PDT"
Azure Functions for Cloud-native Microservices: Public Preview Launch,https://techcommunity.microsoft.com/t5/apps-on-azure-blog/azure-functions-for-cloud-native-microservices-public-preview/ba-p/3826800,"Tue, 23 May 2023 08:00:00 PDT"
Introducing jobs for Azure Container Apps,https://techcommunity.microsoft.com/t5/apps-on-azure-blog/introducing-jobs-for-azure-container-apps/ba-p/3826677,"Tue, 23 May 2023 08:00:00 PDT"
Azure Functions – May update for Microsoft build,https://techcommunity.microsoft.com/t5/apps-on-azure-blog/azure-functions-may-update-for-microsoft-build/ba-p/3827388,"Tue, 23 May 2023 07:57:13 PDT"
