Title,Link,PublishedDate
6 ways to improve accessibility with Azure AI,https://azure.microsoft.com/blog/6-ways-to-improve-accessibility-with-azure-ai/,"Tue, 21 Feb 2023 10:00:07 Z"
Join the Azure Collective on Stack Overflow,https://azure.microsoft.com/blog/join-the-azure-collective-on-stack-overflow/,"Tue, 21 Feb 2023 09:00:06 Z"
Exploring mTLS setup to send a client certificate to the backend and OCSP validation,https://azure.microsoft.com/blog/exploring-mtls-setup-to-send-a-client-certificate-to-the-backend-and-ocsp-validation/,"Wed, 22 Feb 2023 09:00:18 Z"
Azure Managed Lustre—Parallel file system for HPC and AI workloads,https://azure.microsoft.com/blog/azure-managed-lustre-parallel-file-system-for-hpc-and-ai-workloads/,"Wed, 22 Feb 2023 08:00:18 Z"
Microsoft and Rockwell Automation collaborate on digital solutions for manufacturers,https://azure.microsoft.com/blog/microsoft-and-rockwell-automation-collaborate-on-digital-solutions-for-manufacturers/,"Thu, 23 Feb 2023 09:00:04 Z"
Farming from space: How orbital data is unlocking novel agriculture insights,https://azure.microsoft.com/blog/farming-from-space-how-orbital-data-is-unlocking-novel-agriculture-insights/,"Thu, 23 Feb 2023 08:00:04 Z"
3 Microsoft Azure AI product features that accelerate language learning,https://azure.microsoft.com/blog/3-microsoft-azure-ai-product-features-that-accelerate-language-learning/,"Fri, 24 Feb 2023 08:00:18 Z"
Microsoft Azure innovation powers leading price-performance for SQL Server,https://azure.microsoft.com/blog/microsoft-azure-innovation-powers-leading-priceperformance-for-sql-server/,"Thu, 23 Feb 2023 10:00:05 Z"
Azure private MEC delivers modern connected applications for industries,https://azure.microsoft.com/blog/azure-private-mec-delivers-modern-connected-applications-for-industries/,"Sun, 26 Feb 2023 15:00:11 Z"
Empowering operators and enterprises with the next wave of Azure for Operators services shaping the future of cloud,https://azure.microsoft.com/blog/empowering-operators-and-enterprises-with-the-next-wave-of-azure-for-operators-services-shaping-the-future-of-cloud/,"Sun, 26 Feb 2023 15:00:11 Z"
