Title,Link,PublishedDate
"Retirement Update: SAP container images removed October 14, 2026",https://azure.microsoft.com/updates?id=571342,2026-09-16T17:19:02Z
[In preview] Public Preview: Azure SQL updates for mid-September 2026,https://azure.microsoft.com/updates?id=571056,2026-09-16T17:15:10Z
[In preview] Public Preview: Azure Red Hat OpenShift with hosted control planes,https://azure.microsoft.com/updates?id=571621,2026-09-16T14:13:08Z
[In preview] Public Preview: PostgreSQL skills and MCP plugin for Azure Database for PostgreSQL,https://azure.microsoft.com/updates?id=569664,2026-09-16T14:07:14Z
[In preview] Public Preview: Azure Payments HSM v2,https://azure.microsoft.com/updates?id=570509,2026-09-17T18:36:44Z
[Launched] Generally Available: High-scale mesh in Azure Virtual Network Manager,https://azure.microsoft.com/updates?id=571572,2026-09-17T17:40:33Z
[In preview] Public Preview: Foundry Routines in Foundry Agent Service,https://azure.microsoft.com/updates?id=563536,2026-09-18T19:10:53Z
[In preview] Public Preview: Mdsv4 and Msv4 Series Virtual Machines for SAP,https://azure.microsoft.com/updates?id=571530,2026-09-18T17:29:29Z
[Launched] Generally Available: Enable and disable controls for Microsoft Foundry agents in Agent 365,https://azure.microsoft.com/updates?id=571826,2026-09-18T17:24:02Z
[In preview] Public Preview: Network egress controls for hosted agents in Microsoft Foundry,https://azure.microsoft.com/updates?id=571821,2026-09-18T17:23:21Z
[Launched] Generally Available: Publishing Microsoft Foundry agents to Microsoft 365 Copilot and Teams,https://azure.microsoft.com/updates?id=571816,2026-09-18T17:21:06Z
[Launched] Generally Available: Logical replication slot sync status metric for Azure PostgreSQL Flexible Server,https://azure.microsoft.com/updates?id=568414,2026-09-18T16:44:11Z
[Launched] Generally Available: New and improved troubleshooting guides for Azure Database for PostgreSQL,https://azure.microsoft.com/updates?id=571042,2026-09-18T15:51:06Z
[Launched] Generally Available: PG18 support for Azure Database for PostgreSQL elastic clusters,https://azure.microsoft.com/updates?id=571047,2026-09-18T15:49:46Z
