"SiteName","FeedLink","FeedType","IsActive","AutoPublish","SiteLink","Prefix","Suffix"
"AzureBlog","https://azurecomcdn.azureedge.net/en-us/blog/feed/","rss","true","false","https://azure.microsoft.com/en-us/blog/","","?WT.mc_id=AZ-MVP-4039694"
"AzureUpdates","https://azurecomcdn.azureedge.net/en-us/updates/feed/","rss","true","false","https://azure.microsoft.com/en-us/updates/","","?WT.mc_id=AZ-MVP-4039694"
"Azureannouncements","https://azurecomcdn.azureedge.net/en-us/blog/topics/announcements/feed/","rss","true","false","https://azure.microsoft.com/blog/","","?WT.mc_id=AZ-MVP-4039694"
"EnglishBlog","https://woivre.com/feed.xml","atom","true","true","https://woivre.com","",""
"FrenchBlog","https://woivre.fr/feed.xml","atom","true","true","https://woivre.fr","",""
"LudovicAlarcon","https://ludovic-alarcon.com/feed","atom","true","false","https://ludovic-alarcon.com","",""
"MSRC","https://msrc-blog.microsoft.com/feed/","rss","true","false","https://msrc-blog.microsoft.com/","","?WT.mc_id=AZ-MVP-4039694"
"GithubAKS","https://github.com/azure/aks/releases.atom","atom","true","false","https://github.com/azure/aks/releases","Microsoft AKS Release",""
"Kubernetes","https://github.com/kubernetes/kubernetes/releases.atom","atom","true","false","https://github.com/kubernetes/kubernetes/releases","",""
"Bicep","https://github.com/Azure/bicep/releases.atom","atom","true","false","https://github.com/Azure/bicep/releases","Azure Bicep Release",""
"AzureCLI","https://github.com/Azure/azure-cli/releases.atom","atom","true","false","https://github.com/Azure/azure-cli/releases","",""
"AzurePowershell","https://github.com/Azure/azure-powershell/releases.atom","atom","true","false","https://github.com/Azure/azure-powershell/releases","Release Azure Powershell",""
"AzureToolsBlog","https://techcommunity.microsoft.com/plugins/custom/microsoft/o365/custom-blog-rss?tid=8910928764405820552&board=AzureToolsBlog&size=25","rss","true","false","https://techcommunity.microsoft.com/t5/azure-tools-blog/bg-p/AzureToolsBlog","","?WT.mc_id=AZ-MVP-4039694"
"AzureApps","https://techcommunity.microsoft.com/plugins/custom/microsoft/o365/custom-blog-rss?tid=-703623166244733512&board=AppsonAzureBlog&size=25","rss","true","false","https://techcommunity.microsoft.com/t5/apps-on-azure-blog/bg-p/AppsonAzureBlog","","?WT.mc_id=AZ-MVP-4039694"
"MicrosoftStartup","https://techcommunity.microsoft.com/plugins/custom/microsoft/o365/custom-blog-rss?tid=-1017318509119546928&board=StartupsatMicrosoftBlog&size=25","rss","true","false","https://techcommunity.microsoft.com/t5/startups-at-microsoft/bg-p/StartupsatMicrosoftBlog","","?WT.mc_id=AZ-MVP-4039694"
"KubernetesIO","https://kubernetes.io/feed.xml","atom","true","false","https://kubernetes.io","",""
